Source,Target,Capacity,Budget
S1,N1,45,27
S1,N2,35,11
S1,N3,46,44
S1,N4,15,91
S1,N5,8,51
S1,N6,21,54
S1,N7,34,39
S1,N8,26,51
S1,N9,35,72
S1,N10,29,69
S1,N11,13,34
S1,N12,15,62
S1,N13,30,55
S1,N14,28,51
S1,N15,34,24
S1,N16,46,71
S1,N17,47,62
S1,N18,18,79
S1,N19,33,90
S1,N20,44,34
S1,N21,30,64
S1,N22,19,19
S1,N23,28,53
S1,N24,22,11
S1,N25,40,15
S1,N26,33,42
S1,N27,48,10
S1,N28,17,54
S1,N29,16,80
S1,N30,29,31
S1,N31,45,49
S1,N32,46,13
S1,N33,9,49
S1,N34,22,78
S1,N35,33,73
S1,N36,16,23
S1,N37,47,75
S1,N38,15,84
S1,N39,50,56
S1,N40,6,14
S1,N41,19,36
S1,N42,34,71
S1,N43,7,26
S1,N44,6,71
S1,N45,17,59
S1,N46,42,89
S1,N47,49,29
S1,N48,47,14
S1,N49,11,51
S1,N50,25,51
S1,N51,6,72
S1,N52,23,66
S1,N53,36,87
S1,N54,40,96
S1,N55,38,77
S1,N56,16,25
S1,N57,7,98
S1,N58,6,66
S1,N59,18,74
S1,N60,28,23
S1,N61,20,90
S1,N62,14,39
S1,N63,5,96
S1,N64,32,53
S1,N65,22,12
S1,N66,15,28
S1,N67,50,95
S1,N68,32,49
S1,N69,29,56
S1,N70,23,17
S1,N71,12,88
S1,N72,48,80
S1,N73,47,26
S1,N74,50,55
S1,N75,15,32
S1,N76,11,11
S1,N77,34,82
S1,N78,19,29
S1,N79,26,64
S1,N80,11,84
S1,N81,44,79
S1,N82,9,83
S1,N83,6,49
S1,N84,45,68
S1,N85,18,37
S1,N86,33,37
S1,N87,38,92
S1,N88,22,14
S1,N89,16,16
S1,N90,18,87
S1,N91,10,89
S1,N92,44,99
S1,N93,29,17
S1,N94,33,86
S1,N95,42,18
S1,N96,13,73
S1,N97,18,82
S1,N98,11,73
S1,N99,39,34
S1,N100,28,50
S1,N101,38,72
